applicant_id,gender,applicant_age,caste_category,annual_income,scheme_category,project_cost,requested_loan,promoter_contrib_pct,education_level,has_vocational_training,experience_years,has_clean_credit,has_valid_caste_cert,has_valid_income_cert,debt_to_income_ratio,approval_score,approved
APP_1000,Female,38,SC,236800.0,micro_finance,101200.0,96100.0,0.0,Secondary (10th),1,4,1,1,1,0.148,99.0,1
APP_1001,Female,23,SC,112900.0,sanitation,1220000.0,1196000.0,2.0,Higher Secondary (12th),1,0,1,1,1,1.857,66.6,1
APP_1002,Female,48,SC,142500.0,education,720000.0,648000.0,0.0,Higher Secondary (12th),0,0,0,1,1,0.797,26.8,0
APP_1003,Male,28,SC,76700.0,sanitation,1356000.0,1288000.0,5.0,Post Graduate / Professional,1,0,1,1,1,2.944,59.4,1
APP_1004,Female,36,SC,228400.0,education,1734000.0,1561000.0,0.0,Higher Secondary (12th),1,1,1,1,1,1.198,55.4,1
APP_1005,Female,41,SC,73400.0,sanitation,1661000.0,1578000.0,5.0,Secondary (10th),1,0,0,1,1,3.769,27.4,0
APP_1006,Male,25,SC,483500.0,term_loan,1170000.0,1053000.0,10.0,Higher Secondary (12th),0,2,1,1,1,0.505,82.9,1
APP_1007,Female,28,General,81800.0,education,194000.0,175000.0,0.0,Primary (1-8),1,2,1,1,1,0.375,53.0,0
APP_1008,Other,29,SC,644300.0,sanitation,122000.0,110000.0,10.0,Primary (1-8),0,3,1,1,1,0.03,45.6,0
APP_1009,Female,28,SC,650300.0,education,717000.0,645000.0,10.0,Higher Secondary (12th),0,0,1,1,1,0.174,52.7,0
APP_1010,Male,28,SC,189500.0,sanitation,1579000.0,1421000.0,10.0,Graduate,1,0,1,1,1,1.315,71.3,1
APP_1011,Female,29,SC,78900.0,education,1851000.0,1666000.0,0.0,Post Graduate / Professional,1,8,1,1,0,3.702,15.0,0
APP_1012,Female,41,ST,110800.0,term_loan,2226000.0,2003000.0,10.0,Higher Secondary (12th),1,1,1,1,1,4.194,5.0,0
APP_1013,Female,59,SC,201200.0,green_energy,461000.0,438000.0,5.0,No Formal Education,0,0,1,1,1,0.382,99.0,1
APP_1014,Female,40,SC,111400.0,education,400000.0,360000.0,10.0,Secondary (10th),1,0,1,1,1,0.567,99.0,1
APP_1015,Female,24,SC,321700.0,green_energy,1032000.0,877000.0,15.0,No Formal Education,0,1,1,1,1,0.478,85.1,1
APP_1016,Male,29,SC,171000.0,term_loan,3517000.0,3165000.0,5.0,Secondary (10th),0,1,1,1,0,4.294,5.3,0
APP_1017,Male,23,ST,99900.0,micro_finance,78300.0,70500.0,2.0,Graduate,1,5,1,1,1,0.258,42.7,0
APP_1018,Female,27,SC,248000.0,green_energy,1044000.0,940000.0,10.0,Primary (1-8),1,0,0,1,1,0.664,38.1,0
APP_1019,Female,39,SC,264700.0,education,461000.0,415000.0,10.0,No Formal Education,1,4,1,1,1,0.275,99.0,1
APP_1020,Male,26,SC,69500.0,micro_finance,29800.0,26800.0,5.0,Graduate,1,6,1,1,1,0.141,99.0,1
APP_1021,Female,20,ST,303700.0,education,1583000.0,1425000.0,10.0,Post Graduate / Professional,1,0,1,1,1,0.823,5.0,0
APP_1022,Male,24,SC,260100.0,micro_finance,104400.0,94000.0,0.0,Higher Secondary (12th),0,4,0,1,1,0.132,54.0,1
APP_1023,Female,41,SC,125400.0,education,1544000.0,1390000.0,10.0,Secondary (10th),0,2,1,1,1,1.943,69.5,1
APP_1024,Female,37,SC,60900.0,micro_finance,112500.0,106900.0,5.0,Primary (1-8),0,5,1,1,1,0.641,64.8,1
APP_1025,Male,47,Safai Karamchari / Dependent,95500.0,term_loan,641000.0,577000.0,15.0,Secondary (10th),0,2,0,1,1,1.402,34.7,0
APP_1026,Male,18,SC,269900.0,term_loan,3899000.0,3509000.0,10.0,Graduate,1,0,1,1,1,3.016,66.1,1
APP_1027,Female,21,Safai Karamchari / Dependent,283400.0,green_energy,1233000.0,1048000.0,15.0,Graduate,1,2,1,1,1,0.648,88.2,1
APP_1028,Female,32,Safai Karamchari / Dependent,133200.0,green_energy,1224000.0,1163000.0,5.0,Primary (1-8),0,1,1,1,1,1.531,72.8,1
APP_1029,Female,26,SC,262500.0,education,881000.0,793000.0,0.0,Primary (1-8),0,0,1,1,1,0.53,91.7,1
APP_1030,Female,26,Safai Karamchari / Dependent,296200.0,green_energy,306000.0,260000.0,15.0,Primary (1-8),1,9,1,1,1,0.154,99.0,1
APP_1031,Female,38,SC,139200.0,term_loan,1359000.0,1223000.0,5.0,Higher Secondary (12th),1,7,1,1,1,2.038,80.8,1
APP_1032,Male,29,SC,151000.0,education,1890000.0,1701000.0,0.0,Higher Secondary (12th),1,7,1,1,1,1.975,64.6,1
APP_1033,Male,46,SC,166000.0,green_energy,1062000.0,903000.0,15.0,Secondary (10th),0,7,1,1,1,0.954,60.9,1
APP_1034,Male,27,SC,288500.0,sanitation,546000.0,519000.0,5.0,Primary (1-8),1,0,1,1,1,0.315,99.0,1
APP_1035,Female,45,ST,232400.0,micro_finance,66100.0,59500.0,10.0,Primary (1-8),0,6,1,1,1,0.093,46.5,0
APP_1036,Male,34,SC,227000.0,micro_finance,75700.0,68100.0,2.0,Graduate,1,1,1,1,1,0.11,95.8,1
APP_1037,Male,30,OBC,545100.0,sanitation,1467000.0,1320000.0,10.0,Secondary (10th),0,1,1,1,1,0.425,5.0,0
APP_1038,Female,32,SC,243800.0,green_energy,854000.0,726000.0,15.0,Primary (1-8),0,2,1,1,1,0.522,99.0,1
APP_1039,Female,25,SC,96700.0,sanitation,507000.0,482000.0,5.0,Secondary (10th),0,12,1,1,1,0.874,75.0,1
APP_1040,Male,18,SC,530300.0,sanitation,1006000.0,956000.0,5.0,Primary (1-8),1,1,0,1,1,0.316,11.9,0
APP_1041,Male,34,ST,125500.0,sanitation,1023000.0,972000.0,5.0,Secondary (10th),0,2,1,1,1,1.358,5.0,0
APP_1042,Other,32,SC,536800.0,term_loan,2703000.0,2433000.0,5.0,Higher Secondary (12th),1,0,1,1,1,1.051,8.5,0
APP_1043,Female,37,SC,411300.0,term_loan,3812000.0,3431000.0,20.0,Primary (1-8),1,0,1,1,0,1.935,15.0,0
APP_1044,Female,44,SC,316100.0,education,155000.0,140000.0,0.0,Primary (1-8),1,0,1,1,1,0.078,53.8,0
